@relation dataset

@attribute urban_degree {0, 1, 2}
@attribute house_rooms real
@attribute housing_tenure {0, 1, 2, 3}
@attribute family_members real
@attribute equivalent_income real
@attribute invoices_overdue {0, 1}
@attribute afford_holidays {0, 1}
@attribute afford_meal {0, 1}
@attribute afford_unexpected {0, 1}
@attribute have_phone {0, 1}
@attribute have_tv {0, 1}
@attribute have_computer {0, 1}
@attribute have_washer {0, 1}
@attribute have_car {0, 1}
@attribute have_shower {0, 1}
@attribute have_wc {0, 1}
@attribute problem_light {0, 1}
@attribute problem_noise {0, 1}
@attribute problem_pollution {0, 1}
@attribute problem_vandal {0, 1}
@attribute problem_leaks {0, 1}
@attribute afford_heating {0, 1}


@data
0,4.0,0,4.0,11357.38,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0
0,3.0,1,2.0,13059.9,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1
0,3.0,0,1.0,8008.9,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1
0,5.0,0,3.0,16344.61,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
0,4.0,1,4.0,7656.17,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
2,5.0,0,1.0,3464.5,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1
2,4.0,0,3.0,21858.35,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1
1,5.0,0,5.0,10781.71,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1
1,4.0,1,2.0,7112.03,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1
1,4.0,3,1.0,921.5,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1
1,5.0,1,4.0,14246.72,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1
1,5.0,1,2.0,9303.13,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1
1,5.0,3,2.0,10205.67,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1
1,4.0,3,4.0,7233.74,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1
1,4.0,0,2.0,8986.8,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
1,5.0,0,4.0,15895.8,0,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1
1,6.0,1,3.0,6119.5,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
1,5.0,3,4.0,3839.39,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1
1,3.0,0,4.0,13077.71,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0
1,5.0,1,3.0,11373.55,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1
1,5.0,1,3.0,6888.7,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1
2,5.0,0,3.0,9282.17,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1
2,5.0,1,1.0,827.3,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1
2,6.0,1,1.0,46956.8,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
2,5.0,0,3.0,20685.89,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
2,5.0,0,3.0,7714.94,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1
2,5.0,1,2.0,39920.73,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
2,6.0,1,1.0,1759.91,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,1,1
1,5.0,1,3.0,6488.9,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
1,5.0,0,3.0,11646.56,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1
1,5.0,1,2.0,5993.6,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0
1,5.0,1,2.0,17284.87,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
1,5.0,0,3.0,18199.83,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1
0,5.0,3,6.0,0.0,1,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1
0,4.0,3,5.0,4649.74,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0
0,5.0,2,9.0,7344.93,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1
