@relation dataset

@attribute urban_degree {high_pop, low_pop, medium_pop}
@attribute house_rooms real
@attribute housing_tenure {mortgage, property, rent, rent_low_or_free_transfer}
@attribute family_members real
@attribute equivalent_income real
@attribute invoices_overdue {no, yes}
@attribute afford_holidays {no, yes}
@attribute afford_meal {no, yes}
@attribute afford_unexpected {no, yes}
@attribute have_phone {no, yes}
@attribute have_tv {no, yes}
@attribute have_computer {no, yes}
@attribute have_washer {no, yes}
@attribute have_car {no, yes}
@attribute have_shower {no, yes}
@attribute have_wc {no, yes}
@attribute problem_light {no, yes}
@attribute problem_noise {no, yes}
@attribute problem_pollution {no, yes}
@attribute problem_vandal {no, yes}
@attribute problem_leaks {no, yes}
@attribute afford_heating {no, yes}


@data
high_pop,5.0,rent,9.0,7344.93,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,no,yes,yes,yes,no,yes
high_pop,4.0,rent,6.0,1124.12,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no
high_pop,4.0,rent,5.0,9950.04,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,no
high_pop,5.0,rent,2.0,10080.27,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,yes
high_pop,5.0,rent_low_or_free_transfer,6.0,2649.66,no,no,yes,no,yes,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,no
low_pop,4.0,mortgage,1.0,18818.4,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
low_pop,5.0,property,5.0,11931.18,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,yes
low_pop,6.0,mortgage,2.0,10509.67,no,no,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,yes
low_pop,5.0,property,1.0,10703.5,no,no,yes,no,yes,yes,no,yes,no,yes,yes,no,no,yes,no,yes,yes
low_pop,5.0,property,1.0,132.66,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,yes
low_pop,5.0,property,1.0,9664.97,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
low_pop,6.0,property,5.0,17516.96,no,no,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,yes
low_pop,6.0,property,1.0,10778.6,no,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,no,no,yes
low_pop,5.0,property,2.0,12586.33,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,yes
low_pop,5.0,property,2.0,15303.2,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
low_pop,6.0,property,2.0,5551.4,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,yes
low_pop,5.0,property,2.0,6113.2,no,no,yes,no,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,yes
low_pop,6.0,mortgage,4.0,10936.62,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,yes
low_pop,6.0,mortgage,4.0,11717.67,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
low_pop,5.0,mortgage,3.0,15762.63,no,no,yes,no,yes,yes,no,yes,yes,yes,yes,no,yes,no,no,yes,no
low_pop,5.0,property,3.0,13317.65,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
low_pop,6.0,mortgage,4.0,12135.9,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
low_pop,5.0,property,2.0,19122.07,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
low_pop,6.0,mortgage,4.0,10379.29,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
low_pop,5.0,mortgage,3.0,12750.56,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
low_pop,4.0,property,1.0,0.0,no,no,yes,no,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no
low_pop,6.0,rent,5.0,7196.0,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,no,no,no,no,yes
low_pop,6.0,rent_low_or_free_transfer,2.0,10775.6,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
low_pop,5.0,property,2.0,8254.4,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
medium_pop,6.0,property,2.0,42084.13,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
medium_pop,5.0,property,1.0,12084.58,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
medium_pop,5.0,property,2.0,22370.2,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
medium_pop,6.0,property,1.0,10684.0,no,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,no,no,yes
medium_pop,5.0,rent,6.0,5444.61,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
medium_pop,5.0,property,2.0,17393.73,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,yes
medium_pop,5.0,mortgage,4.0,26578.08,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
low_pop,6.0,property,6.0,30229.42,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
low_pop,6.0,rent_low_or_free_transfer,4.0,11312.16,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
low_pop,6.0,property,3.0,27235.1,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,yes
low_pop,6.0,property,3.0,28322.85,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,yes
low_pop,6.0,property,1.0,40166.0,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,yes
