@relation dataset

@attribute games real
@attribute starts real
@attribute min real
@attribute fgm real
@attribute fgp real
@attribute 3pm real
@attribute 3pp real
@attribute ftm real
@attribute ftp real
@attribute off real
@attribute def real
@attribute ast real
@attribute stl real
@attribute to real
@attribute blk real
@attribute pf real
@attribute dq real
@attribute tf real


@data
?,3.0,?,1.38,0.48,0.0,0.0,0.31,0.56,2.13,2.94,?,?,0.88,?,?,0.0,0.0
70.0,38.0,23.83,?,0.41,0.9,?,1.84,0.89,?,?,3.26,?,1.34,0.14,1.76,0.0,?
?,41.0,?,3.91,0.45,?,0.44,1.21,0.81,0.81,4.46,?,0.79,0.9,0.91,3.25,0.04,0.06
32.0,?,?,?,0.44,?,0.0,0.31,0.4,?,?,?,0.28,?,?,1.97,0.0,?
32.0,0.0,?,1.19,0.46,?,0.27,0.72,0.5,0.19,0.72,1.22,0.38,0.44,?,0.53,0.0,0.0
81.0,74.0,33.93,4.84,?,2.3,0.38,3.1,0.82,?,?,?,0.91,1.36,0.72,2.36,0.01,0.0
25.0,4.0,?,3.28,0.47,0.92,0.39,?,0.88,0.44,2.2,?,?,0.84,0.76,?,?,0.0
69.0,69.0,?,5.83,0.52,?,0.2,2.68,0.84,?,6.2,2.68,0.99,?,0.83,?,0.01,0.09
69.0,69.0,35.77,5.48,0.58,0.0,0.0,?,?,3.01,6.26,2.39,1.0,1.96,1.58,?,0.04,0.03
65.0,65.0,36.97,6.95,?,?,?,?,0.79,3.74,?,3.35,0.55,?,?,2.34,0.0,?
?,?,39.7,7.5,0.47,0.83,0.33,3.76,0.75,1.44,?,1.91,?,2.11,?,2.51,?,0.04
11.0,2.0,16.55,?,0.47,0.64,0.78,?,0.62,?,1.64,?,0.64,0.91,0.09,1.18,0.0,?
45.0,?,16.91,?,0.43,1.07,0.39,?,0.7,0.47,2.07,0.71,0.91,0.33,0.22,1.98,?,?
56.0,?,?,2.23,0.47,?,0.48,0.61,0.69,0.23,1.07,1.25,?,0.64,?,1.41,?,0.0
82.0,70.0,26.87,3.79,?,?,?,?,0.65,?,4.7,0.85,0.61,1.38,1.24,?,0.11,0.04
?,1.0,7.56,?,?,?,0.0,0.41,?,?,1.09,0.41,?,?,0.06,0.91,0.0,0.0
2.0,?,?,0.5,1.0,0.0,?,0.0,?,0.0,0.5,?,0.5,0.0,0.0,0.0,0.0,0.0
75.0,21.0,28.67,5.31,0.44,1.76,0.38,4.12,0.87,?,2.88,4.93,?,2.05,0.32,2.05,0.0,0.03
76.0,64.0,29.07,?,0.45,0.97,?,1.37,?,1.0,3.58,1.63,?,?,0.21,2.04,0.0,0.0
70.0,33.0,25.07,4.11,0.48,0.01,0.13,2.66,0.86,2.96,?,0.67,0.59,?,?,?,0.06,0.01
?,?,27.84,4.69,?,1.21,?,?,0.86,0.42,1.5,2.68,0.79,1.9,0.1,2.37,0.02,?
62.0,60.0,35.98,?,?,1.92,?,3.58,?,?,2.18,3.0,1.13,2.32,0.23,?,0.0,0.0
81.0,0.0,13.46,1.49,?,0.0,0.0,?,0.68,1.28,2.93,0.21,0.21,0.57,0.86,1.7,0.01,0.0
62.0,18.0,?,1.69,?,0.03,0.15,0.87,?,?,1.35,0.35,?,0.69,0.11,1.68,?,0.0
69.0,8.0,11.68,1.72,0.5,0.23,?,0.61,?,0.35,?,0.33,?,0.54,0.14,1.36,0.0,0.01
?,?,?,7.87,0.43,2.55,0.36,?,?,1.08,?,2.76,1.52,?,0.82,2.95,0.05,0.06
?,0.0,?,1.31,0.51,?,0.0,?,0.71,?,1.91,?,0.28,0.56,?,1.69,?,0.0
?,?,5.8,0.75,0.38,0.3,0.27,0.2,0.67,0.4,0.45,?,0.3,0.25,0.15,?,?,?
82.0,82.0,?,5.91,?,1.27,?,2.01,0.74,?,4.61,?,1.27,1.65,?,2.7,0.04,0.01
?,18.0,?,?,0.46,0.64,0.35,1.3,?,0.27,?,2.07,0.44,?,0.15,1.85,0.0,0.0
?,50.0,21.42,3.21,?,?,?,1.18,0.64,0.7,?,?,0.53,?,0.71,1.97,0.03,0.03
?,?,4.13,?,?,?,?,0.25,?,0.0,0.25,0.13,0.0,?,0.25,?,?,?
?,0.0,?,0.67,?,0.0,?,0.39,?,0.72,1.36,?,?,?,0.39,1.58,0.0,0.0
?,0.0,?,0.85,0.53,0.04,?,?,?,0.28,0.77,0.34,0.09,?,0.19,0.62,0.0,0.0
?,0.0,4.2,1.0,0.48,0.3,0.6,0.2,0.4,0.4,0.6,?,0.0,?,0.2,0.5,0.0,0.0
?,?,?,6.37,?,0.89,?,4.43,0.85,?,2.0,4.39,0.65,2.52,0.07,2.5,?,0.22
29.0,1.0,?,?,?,0.0,0.0,?,?,2.07,2.69,?,0.59,0.72,0.28,?,0.0,0.03
76.0,0.0,22.84,3.07,?,1.22,0.38,2.55,0.81,?,2.59,1.82,?,?,?,2.63,?,?
72.0,15.0,?,6.22,?,?,0.34,3.33,0.76,1.22,4.4,1.53,0.86,1.83,0.35,2.9,?,0.04
?,?,34.67,5.56,?,?,0.28,4.81,0.8,0.38,2.8,6.61,1.22,2.83,0.28,2.78,0.0,?
13.0,0.0,7.23,0.85,0.37,0.0,0.0,?,0.64,0.77,1.08,?,?,0.69,?,1.08,0.0,0.0
5.0,?,4.6,0.2,?,0.0,0.0,?,?,0.0,?,1.2,0.4,0.6,0.2,0.8,0.0,?
78.0,0.0,27.99,4.0,0.49,0.0,0.0,1.88,0.76,2.14,5.92,0.67,0.38,0.96,0.29,?,?,?
52.0,?,21.33,1.73,0.41,?,0.0,1.0,0.75,1.06,?,0.96,0.33,0.9,?,?,0.0,0.0
72.0,59.0,26.39,?,0.47,?,0.3,1.01,?,2.01,4.04,2.19,?,1.82,?,?,0.01,?
82.0,82.0,21.66,1.96,?,?,0.0,0.44,0.55,1.84,3.83,1.7,?,0.9,0.52,2.67,0.04,0.0
45.0,19.0,22.93,?,0.42,1.33,?,0.31,0.78,0.2,?,0.89,?,0.62,0.2,2.02,0.0,0.0
77.0,67.0,?,3.58,0.56,?,0.0,1.97,0.62,3.61,5.68,0.56,?,1.29,2.05,2.71,?,?
47.0,10.0,17.34,?,0.44,?,0.35,1.02,0.83,0.13,1.57,1.53,0.38,?,?,1.13,0.0,0.02
43.0,0.0,?,?,0.36,0.09,0.21,0.81,?,?,?,0.3,0.23,0.33,0.21,0.58,0.0,?
?,69.0,25.11,4.78,?,0.04,0.5,?,0.75,?,3.54,?,0.37,1.79,?,3.52,0.06,?
?,73.0,20.88,3.57,0.55,0.0,0.0,1.37,0.68,1.36,3.58,0.49,?,1.14,0.48,1.63,?,0.01
82.0,82.0,33.65,?,0.59,0.0,?,3.57,?,2.02,5.62,?,1.4,?,1.0,3.43,0.09,0.02
78.0,43.0,?,4.53,?,0.96,0.4,?,0.77,0.54,2.09,?,0.88,1.29,0.32,2.85,0.05,0.01
81.0,81.0,29.96,4.15,?,?,0.44,?,0.82,0.91,?,2.38,?,1.33,?,?,?,0.02
?,0.0,?,2.11,?,0.0,?,?,?,?,2.11,0.43,?,0.64,0.45,?,0.0,0.0
?,53.0,33.5,4.16,0.41,?,?,?,0.75,0.32,?,?,1.15,1.55,0.31,2.76,0.01,0.11
73.0,51.0,24.27,?,0.44,?,0.39,0.89,?,0.75,1.85,3.84,1.08,?,0.25,?,0.0,0.0
73.0,27.0,16.78,2.32,0.56,0.0,0.0,?,0.69,?,1.77,0.7,0.26,?,?,2.73,0.04,0.05
81.0,?,35.12,?,0.55,0.01,?,?,0.79,?,6.95,2.33,?,1.51,1.12,2.78,0.01,0.02
68.0,?,17.9,2.54,?,1.16,0.35,?,0.92,0.19,1.41,?,?,?,0.1,?,0.0,?
82.0,82.0,34.67,?,0.61,?,?,?,0.59,?,9.72,1.76,0.91,?,?,3.5,0.05,0.21
35.0,12.0,26.09,?,0.4,0.66,0.27,3.11,0.78,0.86,2.71,?,0.74,?,0.31,?,0.0,0.09
?,?,22.37,2.62,0.51,0.0,?,0.75,0.79,1.48,?,0.84,?,?,0.14,2.62,0.01,?
25.0,0.0,?,?,?,0.2,0.31,0.44,?,0.28,0.4,?,?,0.56,?,?,0.0,0.0
45.0,16.0,?,3.04,?,?,?,?,0.83,0.51,2.64,?,1.16,1.67,?,?,?,?
69.0,?,17.72,?,0.44,0.0,0.0,?,0.67,?,3.74,0.46,0.52,0.96,0.7,2.1,0.0,0.0
?,?,13.03,?,0.5,0.0,0.0,0.87,0.75,0.93,?,0.62,0.22,0.5,0.58,?,0.05,0.0
13.0,0.0,?,0.38,?,?,0.08,0.15,1.0,0.08,1.0,0.69,?,0.31,0.0,0.92,?,0.0
7.0,?,4.86,?,0.33,0.0,0.0,0.43,0.75,0.86,?,?,0.0,0.43,0.14,0.71,?,0.0
21.0,0.0,7.57,0.81,0.4,0.0,?,?,?,?,?,0.0,?,0.43,0.48,?,0.0,0.05
?,0.0,18.08,2.75,0.54,0.01,?,?,0.63,1.89,3.55,0.14,0.34,0.93,1.33,2.66,0.04,0.04
82.0,82.0,38.88,6.05,0.44,1.15,?,3.84,0.73,1.0,5.45,5.76,?,?,?,1.77,?,?
64.0,?,20.89,?,0.44,0.17,?,1.17,0.74,1.8,?,?,0.22,1.0,0.78,?,0.02,?
81.0,?,23.41,3.99,?,?,?,?,0.72,1.94,?,1.04,0.65,?,0.28,3.1,0.04,?
?,24.0,30.86,4.86,0.43,0.32,0.36,?,0.79,0.57,?,4.04,?,2.29,0.07,1.71,0.0,0.04
?,?,7.55,?,?,?,0.4,0.2,0.75,0.14,0.64,?,?,0.25,0.05,?,0.0,?
?,43.0,27.37,3.94,0.48,1.0,0.41,?,?,0.37,?,5.04,?,1.99,?,?,0.0,0.01
12.0,?,6.17,?,0.3,?,0.17,?,?,0.17,?,1.17,0.25,0.92,0.17,0.58,0.0,?
28.0,?,?,0.32,0.3,0.04,0.25,0.14,?,?,?,?,0.07,?,0.14,0.75,0.0,0.0
81.0,?,38.63,7.41,0.42,?,0.33,4.17,?,0.96,?,3.7,1.63,?,0.53,2.43,0.01,?
